estado_padronizado,n_de_pessoas,uf,latitude,longitude,size_sqrt
AC,1,AC,-9.9749,-67.8243,1.0
AL,8,AL,-9.6659,-35.7351,2.8284271247461903
AM,15,AM,-3.119,-60.0217,3.872983346207417
BA,85,BA,-12.9714,-38.5014,9.219544457292887
CE,63,CE,-3.7172,-38.5433,7.937253933193772
DF,54,DF,-15.7797,-47.9297,7.3484692283495345
ES,11,ES,-20.3155,-40.3128,3.3166247903554
GO,38,GO,-16.6799,-49.255,6.164414002968976
Internacional,8,,,,2.8284271247461903
MA,20,MA,-2.5307,-44.3068,4.47213595499958
MG,159,MG,-19.9167,-43.9345,12.609520212918492
MS,13,MS,-20.4435,-54.6295,3.605551275463989
MT,15,MT,-15.5989,-56.0949,3.872983346207417
PA,24,PA,-1.4558,-48.5024,4.898979485566356
PB,23,PB,-7.1195,-34.8631,4.795831523312719
PE,109,PE,-8.0578,-34.8829,10.44030650891055
PI,10,PI,-5.092,-42.8016,3.1622776601683795
PR,94,PR,-25.4284,-49.2733,9.695359714832659
RJ,264,RJ,-22.9068,-43.1729,16.24807680927192
RN,24,RN,-5.7845,-35.2094,4.898979485566356
RO,2,RO,-8.7619,-63.9039,1.4142135623730951
RR,1,RR,2.8235,-60.6758,1.0
RS,103,RS,-30.0346,-51.2177,10.14889156509222
SC,88,SC,-27.5954,-48.5482,9.38083151964686
SE,1,SE,-10.9472,-37.0731,1.0
SP,700,SP,-23.5505,-46.6333,26.457513110645905
TO,4,TO,-10.1845,-48.3336,2.0
